date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:45	2712/2712	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-dca%22	https://ap-havana.agentimage.com/wp-content/plugins/aios-all-widgets/modules/aios-mobile-header//views/lib/css/style.css?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/aios-all-widgets/modules/aios-mobile-header/views/lib/css/style8217.css	(from https://ap-havana.agentimage.com/)
18:28:45	65/65	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-4e%22	https://ap-havana.agentimage.com/wp-content/plugins/aios-all-widgets/modules/aios-mobile-header//views/lib/css/style-print.css?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/aios-all-widgets/modules/aios-mobile-header/views/lib/css/style-print8217.css	(from https://ap-havana.agentimage.com/)
18:28:46	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%2263031c91-113%22	https://ap-havana.agentimage.com/wp-content/plugins/aios-all-widgets/modules/aios-mobile-header/views/frontend/header3a/css/style.css?ver=5.3.14	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/aios-all-widgets/modules/aios-mobile-header/views/frontend/header3a/css/style8217.css	(from https://ap-havana.agentimage.com/)
18:28:46	96846/96846	---MCZ	200	added ('OK')	application/javascript	etag:W/%22455f4240b81915ea051b23d783291b6b%22	https://resources.agentimage.com/libraries/jquery/jquery-1.12.4-wp.js?ver=1.12.4-wp	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/jquery/jquery-1.12.4-wp4a5f.js	(from https://ap-havana.agentimage.com/)
18:28:47	10051/10051	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fb933ecccaeae33622ff486c1dd82394%22	https://resources.agentimage.com/libraries/jquery-migrate/jquery-migrate-1.4.1-wp.js?ver=1.4.1-wp	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/jquery-migrate/jquery-migrate-1.4.1-wp8952.js	(from https://ap-havana.agentimage.com/)
18:28:47	129/129	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263031c91-81%22	https://ap-havana.agentimage.com/wp-content/plugins/add-to-any/addtoany.min.js?ver=1.1	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/ap-havana.agentimage.com/wp-content/plugins/add-to-any/addtoany.min4963.js	(from https://ap-havana.agentimage.com/)
18:28:48	7347/7347	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210f93a547b6965f19bc79368e70b2d01%22	https://resources.agentimage.com/libraries/js/bowser-scripts.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/bowser-scripts.js	(from https://ap-havana.agentimage.com/)
18:28:49	990511/990511	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Mar%202022%2023:35:34%20GMT	https://www.idxhome.com/service/resources/dist/wordpress/bundle.js?1667124446909	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/www.idxhome.com/service/resources/dist/wordpress/bundle4e9e.js	(from https://ap-havana.agentimage.com/)
18:28:52	1943/1943	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c9154c819aa09b63334137c1de7c8f30%22	https://resources.agentimage.com/libraries/js/browser-selector.min.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/browser-selector.min.js	(from https://ap-havana.agentimage.com/)
18:28:52	4842/4842	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a7701faf2478d6b8de537487a49cbc08%22	https://resources.agentimage.com/libraries/js/placeholders.min.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/placeholders.min.js	(from https://ap-havana.agentimage.com/)
18:28:53	12346/12346	---MCZ	200	added ('OK')	application/javascript	etag:W/%22399d75af7db14380557ae78c8142bea9%22	https://resources.agentimage.com/libraries/js/lazysizes.min.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/lazysizes.min.js	(from https://ap-havana.agentimage.com/)
18:28:53	37181/37181	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fd446d94fc5fe62d4afef97011cbc165%22	https://resources.agentimage.com/bootstrap/bootstrap.min.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/bootstrap/bootstrap.min.js	(from https://ap-havana.agentimage.com/)
18:28:53	1847/1847	---MCZ	200	added ('OK')	application/javascript	etag:W/%22afdb460c535f71150e928e9382fbd67e%22	https://resources.agentimage.com/libraries/js/jquery.nav-tab-double-tap.min.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/jquery.nav-tab-double-tap.min.js	(from https://ap-havana.agentimage.com/)
18:28:53	20071/20071	---MCZ	200	added ('OK')	application/javascript	etag:W/%229fca1e7c23d6d29a169a8470ea29559e%22	https://resources.agentimage.com/libraries/js/aios-popup.min.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/aios-popup.min.js	(from https://ap-havana.agentimage.com/)
18:28:54	7055/7055	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213ebeb8d4173244123d5b342333f65d5%22	https://resources.agentimage.com/libraries/js/aios-default-libraries.min.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/aios-default-libraries.min.js	(from https://ap-havana.agentimage.com/)
18:28:54	5703/5703	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223a76c7aa202728a1706c9785bae2ff1%22	https://resources.agentimage.com/libraries/js/aios-initial-setup-frontend.min.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/aios-initial-setup-frontend.min.js	(from https://ap-havana.agentimage.com/)
18:28:54	1333/1333	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f0d33009ba22e251a857ed837406878%22	https://resources.agentimage.com/libraries/js/jquery.chain-height.min.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/jquery.chain-height.min.js	(from https://ap-havana.agentimage.com/)
18:28:55	4625/4625	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d2d88ee89eaef18035b1ba97bdd04fb6%22	https://resources.agentimage.com/libraries/js/jquery.elementpeek.min.js	C:/Users/Dan/Desktop/httrack/https___ap-havana.agentimage.com_/resources.agentimage.com/libraries/js/jquery.elementpeek.min.js	(from https://ap-havana.agentimage.com/)
